street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tiên Sơn 18,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,3,3,2,4.8,1
Trương Chí Cương,Hòa Cường Nam,Hải Châu,Đà Nẵng,72.0,1,4,2,3,5.2,1
Nguyễn Thi,Hòa Cường Nam,Hải Châu,Đà Nẵng,76.0,1,3,2,6,5500.0,1
Bãi Sậy,Khuê Trung,Cẩm Lệ,Đà Nẵng,76.0,1,3,2,2,3.9,1
Nguyễn Hàng,Khuê Trung,Cẩm Lệ,Đà Nẵng,78.0,1,3,2,3,4.0,1
Lê Hữu Trác,An Hải Đông,Sơn Trà,Đà Nẵng,230.0,1,15,15,3,14.2,1
Phú Lộc 10,Thanh Khê Tây,Thanh Khê,Đà Nẵng,160.0,1,20,8,4,10.4,1
Nguyễn Phước Nguyên,An Khê,Thanh Khê,Đà Nẵng,53.0,1,3,3,3,3.25,1
Võ Nguyên Giáp,Phước Mỹ,Sơn Trà,Đà Nẵng,88.0,1,2,2,2,5.254,1
Trần Cao Vân,Chính Gián,Thanh Khê,Đà Nẵng,52.0,1,4,3,3,4.2,1
Bình An 3,Hòa Cường Nam,Hải Châu,Đà Nẵng,105.0,1,3,3,3,8.0,1
3 Tháng 2,Thuận Phước,Hải Châu,Đà Nẵng,68.0,1,4,4,3,4.9,1
Bàu Tràm 1,Khuê Trung,Cẩm Lệ,Đà Nẵng,80.0,1,5,3,3,3.5,1
Võ An Ninh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,156.5,1,4,5,4,9.0,1
Vũ Trọng Phụng,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,3,4,3,0.005,1
Lê Đình Lý,Vĩnh Trung,Thanh Khê,Đà Nẵng,45.0,1,3,3,3,3.5,1
Bạch Đằng,Bình Thuận,Hải Châu,Đà Nẵng,80.0,1,3,2,29,7.76,1
Hoá Sơn 10,Hòa Cường Nam,Hải Châu,Đà Nẵng,154.0,1,3,3,5,19.0,1
Hoá Sơn 10,Hòa Cường Nam,Hải Châu,Đà Nẵng,120.0,1,3,3,3,19.0,1
Dương Bá Trạc,Hòa Cường Nam,Hải Châu,Đà Nẵng,86.0,1,2,2,3,8.75,1
Mạc Thị Bưởi,Hòa Cường Nam,Hải Châu,Đà Nẵng,86.0,1,4,3,4,7.5,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,84.0,1,2,2,3,6.4,1
Trần Cao Vân,Thanh Khê Đông,Thanh Khê,Đà Nẵng,100.0,1,3,2,31,3.0,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,3,4,4,6.2,1
An Thượng 1,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,350.0,1,2,5,3,22.0,1
Trần Đại Nghĩa,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,105.0,1,2,2,2,4.1,1
Đặng Thùy Trâm,Hòa Thuận Tây,Hải Châu,Đà Nẵng,84.0,1,4,4,4,6.0,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,59.0,1,5,4,4,6.6,1
Nguyễn Xí,Hòa Minh,Liên Chiểu,Đà Nẵng,104.0,1,4,4,3,6.3,1
Nguyễn Phi Khanh,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,3,4,4,6.6,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,59.0,1,3,4,4,7.0,1
Võ Nguyên Giáp,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,220.0,1,1,1,3,13.5,1
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,50.0,1,4,4,4,5.8,1
Man Thiện,Hòa Thuận Tây,Hải Châu,Đà Nẵng,50.0,1,4,4,4,5.8,1
Điện Biên Phủ,Hòa Khê,Thanh Khê,Đà Nẵng,50.0,1,2,2,3,3.5,1
Lý Thái Tông,Hòa Hiệp Bắc,Liên Chiểu,Đà Nẵng,125.0,1,3,3,3,10.95,1
Trần Cao Vân,Thanh Khê Đông,Thanh Khê,Đà Nẵng,300.0,1,6,6,3,32.0,1
Tôn Đản,Hòa Phát,Cẩm Lệ,Đà Nẵng,105.0,1,3,2,2,5.0,1
Mỹ Khê,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,4,5,4,8.0,1
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,80.0,1,2,3,2,1.85,1
Nguyễn Văn Thoại,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,99.9,1,4,3,3,8.0,1
Hồ Tông Thốc,Hòa Cường Nam,Hải Châu,Đà Nẵng,93.0,1,4,4,3,6.25,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,2,1,3,4.15,1
Trần Khánh Dư,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,97.5,1,3,4,2,8.9,1
Tố Hữu,Hải Châu,Hải Châu,Đà Nẵng,90.0,1,3,4,4,6.7,1
Bình Hòa 1,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,103.0,1,3,4,3,5.2,1
Chu Lai,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,110.0,1,1,1,2,3.15,1
Bùi Tá Hán,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,3,2,2,4.2,1
Bùi Trang Chước,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,3,3,5.45,1
Phù Đổng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,101.0,1,4,2,2,3.29,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,4,3,3,11.0,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,3,3,3,10.0,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,31,3.0,1
Vũng Thùng 3,Nại Hiên Đông,Sơn Trà,Đà Nẵng,124.0,7,4,3,3,7.0,1
An Thượng 1,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,85.0,7,14,15,7,23.0,1
An Thượng 1,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,7,10,11,6,18.0,1
Nguyễn Hữu Thọ,Hòa Thuận Đông,Hải Châu,Đà Nẵng,250.0,1,3,2,2,29.0,1
Tô Hiệu,Hòa Minh,Liên Chiểu,Đà Nẵng,81.0,1,3,4,3,3.3,1
Thanh Lương 16,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,4,3,3,4.85,1
Hoàng Hiệp,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,2,3,3,4.65,1
Nguyễn Lương Bằng,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,72.0,1,1,1,3,9.5,1
Hoàng Đức Lương,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,7.7,1
Nguyễn Duy Trinh,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,85.0,1,3,2,2,3.0,1
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,53.0,1,2,2,3,14.2,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,3,4,4,11.2,1
Nguyễn Chích,Hòa Minh,Liên Chiểu,Đà Nẵng,75.0,1,3,4,3,5.4,1
Võ Chí Công,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,3,2,4.5,1
Nguyễn Phước Lan,Hòa Xuân,Cẩm Lệ,Đà Nẵng,115.0,1,7,7,4,6.6,1
Vũ Đình Liên,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,2,2,4.65,1
Lê Kim Lãng,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,110.0,1,2,2,2,5.75,1
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,81.0,1,3,3,2,5.7,1
Hồ Nghinh,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,4,4,8,15.0,1
Phạm Đình Hổ,Hòa Minh,Liên Chiểu,Đà Nẵng,80.0,1,2,2,2,5.0,1
Lý Thái Tông,Hòa Minh,Liên Chiểu,Đà Nẵng,75.0,1,4,6,4,5.5,1
Phù Đổng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,101.0,1,2,1,3,2.75,1
Trần Đại Nghĩa,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,90.0,1,2,2,2,4.7,1
Hòa Minh 15,Hòa Minh,Liên Chiểu,Đà Nẵng,74.0,1,4,2,2,4.35,1
Hòa Minh 4,Hòa Minh,Liên Chiểu,Đà Nẵng,80.0,1,3,3,3,4.65,1
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,29.0,1,3,2,4,7.8,1
Huỳnh Ngọc Huệ,Hòa Khê,Thanh Khê,Đà Nẵng,74.0,1,4,2,2,6.5,1
Ngô Gia Tự,Hải Châu 1,Hải Châu,Đà Nẵng,107.3,1,9,13,6,27.7,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,276.4,1,25,25,4,18.5,1
Thanh Tịnh,Hòa Minh,Liên Chiểu,Đà Nẵng,170.6,1,16,16,5,16.8,1
Thân Cảnh Phúc,Hòa Cường Bắc,Hải Châu,Đà Nẵng,147.0,1,4,4,3,14.0,1
Dương Bá Trạc,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,3,2,3,6.6,1
Nguyễn Đăng Đạo,Khuê Trung,Cẩm Lệ,Đà Nẵng,80.0,1,4,3,3,5.1,1
Cầm Bá Thước,Hòa Cường Bắc,Hải Châu,Đà Nẵng,124.0,1,4,4,4,18.5,1
Lý Nhân Tông,Khuê Trung,Cẩm Lệ,Đà Nẵng,92.0,1,3,4,3,8.9,1
Hóa Sơn 1,Hòa Cường Nam,Hải Châu,Đà Nẵng,56.0,1,3,2,3,4.8,1
Thanh Lương 15,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,5.1,1
Võ Chí Công,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,135.0,1,3,4,2,6.2,1
Võ Chí Công,Hòa Xuân,Cẩm Lệ,Đà Nẵng,192.0,1,3,2,2,7.4,1
Ngô Thế Vinh,Hòa Thuận Tây,Hải Châu,Đà Nẵng,218.0,1,4,4,3,16.5,1
Đốc Ngữ,Hòa Cường Bắc,Hải Châu,Đà Nẵng,72.0,1,3,3,3,7.0,1
Hưng Hóa,Hòa Cường Nam,Hải Châu,Đà Nẵng,72.0,1,3,3,3,5.2,1
Đậu Quang Lĩnh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,5.3,1
Nguyễn Xuân Ôn,Hòa Cường Bắc,Hải Châu,Đà Nẵng,92.0,1,3,3,3,7.2,1
Lý Nhân Tông,Hòa Cường Nam,Hải Châu,Đà Nẵng,92.0,1,3,3,3,8.0,1
Lê Thanh Nghị,Hòa Cường Nam,Hải Châu,Đà Nẵng,130.0,1,5,4,3,15.5,1
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,115.0,1,3,4,3,15.0,1
Phạm Phú Tiết,Khuê Trung,Cẩm Lệ,Đà Nẵng,97.0,1,3,4,4,9.8,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,75.0,1,3,3,3,6.4,1
Bàu Tràm 2,Khuê Trung,Cẩm Lệ,Đà Nẵng,75.0,1,3,4,3,6.8,1
Nguyễn Mậu Tài,Khuê Trung,Cẩm Lệ,Đà Nẵng,120.0,1,3,4,3,7.0,1
Ngô Huy Diễn,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,7.0,1
Nguyễn Mậu Tài,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,6.8,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,38.0,1,3,3,3,2.78,1
Thái Phiên,Phước Ninh,Hải Châu,Đà Nẵng,93.0,1,8,5,5,21.0,1
Trần Phú,Hải Châu 1,Hải Châu,Đà Nẵng,93.0,1,2,2,2,17.4,1
Đỗ Quang,Vĩnh Trung,Thanh Khê,Đà Nẵng,88.0,1,3,3,3,9.0,1
Lê Đình Thám,Hòa Thuận Đông,Hải Châu,Đà Nẵng,83.0,1,3,3,3,14.5,1
Trần Bình Trọng,Phước Ninh,Hải Châu,Đà Nẵng,123.0,1,3,2,3,18.0,1
Hoàng Diệu,Phước Ninh,Hải Châu,Đà Nẵng,46.1,1,3,3,4,10.5,1
Lê Lợi,Hải Châu 1,Hải Châu,Đà Nẵng,87.0,1,3,3,3,16.0,1
Hùng Vương,Hải Châu 11,Hải Châu,Đà Nẵng,80.0,1,5,4,5,22.5,1
Nguyễn Đăng Đạo,Khuê Trung,Cẩm Lệ,Đà Nẵng,80.0,1,2,1,2,4.35,1
Nguyễn Mậu Tài,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,3,3,6.25,1
Thanh Lương 9,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,6.2,1
Võ Chí Công,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,5.4,1
Phạm Hùng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,2,3,7.1,1
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,3,4,4,6.8,1
Thanh Lương 8,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,3,4,3,5.1,1
Mẹ Thứ,Hòa Xuân,Cẩm Lệ,Đà Nẵng,90.0,1,3,4,3,4.3,1
Võ Chí Công,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,135.0,1,3,3,2,6.2,1
Hải Phòng,Chính Gián,Thanh Khê,Đà Nẵng,57.0,1,3,3,3,5.2,1
Nguyễn Khang,An Khê,Thanh Khê,Đà Nẵng,101.0,1,4,5,3,5.95,1
Bùi Thị Xuân,An Hải Tây,Sơn Trà,Đà Nẵng,67.0,1,3,2,3,4.5,1
Bế Văn Đàn,Chính Gián,Thanh Khê,Đà Nẵng,75.0,1,4,5,4,6.85,1
Trần Hữu Trang,Hòa Cường Bắc,Hải Châu,Đà Nẵng,81.0,1,3,3,3,5.5,1
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,80.0,1,9,9,3,3.9,1
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,83.0,1,3,4,3,10.0,1
Nguyễn Thi,Hòa Cường Nam,Hải Châu,Đà Nẵng,70.0,1,3,4,3,5.7,1
Võ Nguyên Giáp,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,5,3,6.4,1
Trần Kế Xương,Hải Châu 11,Hải Châu,Đà Nẵng,166.0,1,10,10,6,26.0,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,45.0,1,3,3,3,5.7,1
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,59.0,1,3,3,3,7.5,1
Đào Nguyên Phổ,Hòa Minh,Liên Chiểu,Đà Nẵng,70.0,1,3,3,3,4.85,1
Mê Linh,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,1,1,4,5.5,1
Mê Linh,Hòa Hiệp Bắc,Liên Chiểu,Đà Nẵng,125.0,1,1,1,4,5.5,1
Đặng Tử Kính,Thạch Thang,Hải Châu,Đà Nẵng,103.0,1,5,5,4,13.5,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,90.0,1,2,2,3,7.8,1
Trần Kế Xương,Hải Châu 11,Hải Châu,Đà Nẵng,166.0,1,6,6,6,26.0,1
Thái Thị Bôi,Chính Gián,Thanh Khê,Đà Nẵng,84.0,1,3,3,2,7.4,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,26.0,1,2,2,2,3.0,1
Âu Cơ,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,100.0,1,5,2,3,2.98,1
Nguyễn Huy Chương,Mân Thái,Sơn Trà,Đà Nẵng,100.0,1,12,13,5,9.0,1
Phạm Vấn,Mân Thái,Sơn Trà,Đà Nẵng,100.0,1,12,13,5,9.0,1
Dương Vân Nga,Nại Hiên Đông,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,6.5,1
An Thượng 25,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,33,34,7,39.0,1
Dương Vân Nga,Nại Hiên Đông,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,0.006,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,7,8,6,9.5,1
Lê Trọng Tấn,Hòa An,Cẩm Lệ,Đà Nẵng,100.0,1,4,3,3,4.2,1
Đỗ Quang,Tân Chính,Thanh Khê,Đà Nẵng,90.0,1,3,3,4,5.4,1
Phước Mỹ 1,An Hải Bắc,Sơn Trà,Đà Nẵng,240.0,1,4,4,3,22.5,1
An Thượng 21,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,3,3,4,7.5,1
Lý Nhân Tông,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,4,5,3,12.5,1
Nhơn Hòa 1,Hòa An,Cẩm Lệ,Đà Nẵng,100.0,1,3,2,5,2.85,1
Phạm Văn Đồng,An Hải Bắc,Sơn Trà,Đà Nẵng,343.0,1,15,15,15,97.0,1
Bùi Giáng,Hòa An,Cẩm Lệ,Đà Nẵng,90.0,1,3,2,2,3.3,1
Phú Lộc 5,Hòa Minh,Liên Chiểu,Đà Nẵng,80.0,1,4,3,2,3.3,1
Võ Văn Kiệt,An Hải Bắc,Sơn Trà,Đà Nẵng,280.0,1,17,17,9,90.0,1
Dương Trí Trạch,Phước Mỹ,Sơn Trà,Đà Nẵng,65.0,1,4,4,4,8.3,1
Phước Mỹ 1,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,4,4,8,15.0,1
Phạm Như Xương,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,300.0,1,4,4,2,8.4,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,105.0,1,3,2,2,5.555,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,2854.0,1,2,2,6,3.829,1
Hồ Xuân Hương,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,105.0,1,3,3,2,3.0,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,4,5,4,9.7,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,5,3,11.6,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,5,3,11.6,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,4,3,11.6,1
Hồ Tùng Mậu,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,4,3,5.2,1
Mê Linh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,142.8,1,3,4,3,6.729,1
Nguyễn Lương Bằng,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,5,4,3,3.7,1
Ngô Văn Sở,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,138.0,1,3,4,3,3.312,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,3,4,3,2.8,1
Nguyễn Tất Thành,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,170.0,1,4,5,3,9.699,1
Dương Lâm,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,4,3,3,10.499,1
Lý Nhật Quang,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,3,3,9.499,1
Song Hào,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,300.0,1,6,5,3,15.0,1
Xô Viết Nghệ Tĩnh,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,5,4,4,11.0,1
Nguyễn Lương Bằng,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,3.999,1
Xô Viết Nghệ Tĩnh,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,5,6,4,11.45,1
Nguyễn Hữu Thọ,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,5,4,4,11.0,1
Nguyễn Hữu Thọ,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,5,5,4,11.8,1
Phan Văn Định,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,3,4,3,0.7,1
Âu Cơ,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,120.0,1,3,4,3,2.6,1
Mê Linh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,142.8,1,4,5,3,6.729,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,330.0,2,5,5,3,4.599,1
Mê Linh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,5.199,1
Nguyễn Lương Bằng,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,3,4,3,6.525,1
Nguyễn Lương Bằng,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,138.0,1,3,4,2,0.02,1
Đá Mọc 1,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,138.0,1,3,4,3,2.9,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,4,3,12.4,1
Ngô Văn Sở,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,3,3,1.5,1
Bạch Đằng,Hải Châu,Hải Châu,Đà Nẵng,150.0,1,4,5,3,11.8,1
Dương Đức Hiền,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,4,5,3,2.8,1
Nguyễn Tất Thành,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,4,5,3,6.66,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,4,5,4,10.0,1
Lê Duẩn,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,5,5,3,9.7,1
Lý Thánh Tông,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,3,4,3,6.4,1
Âu Cơ,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,120.0,1,3,4,4,2.88,1
Âu Cơ,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,105.0,1,3,4,3,2.835,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,5,4,12.4,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,120.0,1,4,3,3,12.299,1
Lý Nhật Quang,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,4,4,3,12.499,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,150.0,1,4,3,3,7.299,1
Song Hào,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,300.0,1,5,4,3,21.499,1
Nguyễn Lương Bằng,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,5,5,3,5.499,1
Mê Linh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,195.5,1,5,6,3,8.999,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,4,5,3,10.0,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,3.9,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,3.7,1
Thanh Tịnh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,4,3,3,1.5,1
Nguyễn Tất Thành,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,170.0,1,5,5,3,9.699,1
Mê Linh,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,6.5,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,5,6,3,5.499,1
Lý Nhật Quang,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,4,3,10.0,1
Nguyễn Lương Bằng,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,100.0,1,4,5,3,3.9,1
Xô Viết Nghệ Tĩnh,Hòa Cường Bắc,Hải Châu,Đà Nẵng,150.0,1,5,6,4,11.8,1
Đào Quang Trung,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,5,3,2.0,1
Nguyễn Sinh Sắc,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,150.0,1,4,5,4,5.999,1
Song Hào,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,300.0,1,5,3,3,20.6,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,4,3,9.9,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,124.0,1,4,5,3,4.9,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,6,4,12.4,1
Nguyễn Tất Thành,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,170.0,1,4,3,4,8.199,1
Lý Nhật Quang,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,3,3,3,9.999,1
Lý Nhật Quang,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,3,3,3,10.0,1
Mê Linh,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,125.0,1,4,4,3,2.499,1
Âu Cơ,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,138.0,1,3,4,3,2.9,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,6,6,3,10.2,1
Trần Hưng Đạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,3,3,3,12.4,1
Nguyễn Tất Thành,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,170.0,1,7,5,4,8.999,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,144.0,1,5,5,3,12.0,1
Nguyễn Tất Thành,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,170.0,1,3,3,3,6.5,1
Nguyễn Lương Bằng,Hoà Hiệp Nam,Liên Chiểu,Đà Nẵng,138.0,1,3,4,3,3.0,1
Trần Cao Vân,Thanh Khê Đông,Thanh Khê,Đà Nẵng,45.0,1,3,3,3,6.0,1
Chu Huy Mân,Nại Hiên Đông,Sơn Trà,Đà Nẵng,160.0,1,3,2,3,7.3,1
Đa Mặn 9,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,81.0,1,2,2,2,3.9,1
Nguyễn Hoàng,Vĩnh Trung,Thanh Khê,Đà Nẵng,49.0,1,3,3,3,7.5,1
Trường Sa,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,101.0,1,4,3,2,5.25,1
An Thượng 9,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,75.0,1,3,2,2,8.1,1
Hoàng Thúc Trâm,Hòa Cường Bắc,Hải Châu,Đà Nẵng,83.0,1,4,4,3,5.6,1
An Thượng 21,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,3,2,3,7.5,1
