street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Phần Lăng 18,Hòa Khê,Thanh Khê,Đà Nẵng,170.0,1,4,6,4,13.0,1
Nguyễn Hoàng,Vĩnh Trung,Thanh Khê,Đà Nẵng,108.0,1,3,2,2,11.0,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,1576.0,1,15,15,6,140.0,1
Điên Biên Phủ,Thanh Khê Đông,Thanh Khê,Đà Nẵng,200.0,1,6,5,3,27.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,106.0,1,11,12,6,14.5,1
Hồ Nghinh,An Hải Bắc,Sơn Trà,Đà Nẵng,101.0,1,23,23,8,26.999,1
An Dương Vương,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,3,7.2,1
An Thượng 32,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,5,4,3,13.0,1
Nguyễn Đức An,Phước Mỹ,Sơn Trà,Đà Nẵng,91.0,1,14,14,7,13.0,1
Bùi Thị Xuân,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,10,10,4,11.8,1
Lê Ninh,An Hải Bắc,Sơn Trà,Đà Nẵng,88.0,1,4,4,3,9.2,1
Thạch Lam,Phước Mỹ,Sơn Trà,Đà Nẵng,82.0,1,7,6,4,13.5,1
Mai Chí Thọ,Hòa Xuân,Cẩm Lệ,Đà Nẵng,165.0,1,5,6,5,21.0,1
An Thượng 2,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,12,12,7,24.999,1
Lương Thế Vinh,An Hải Đông,Sơn Trà,Đà Nẵng,260.0,1,11,17,11,17.899,1
Hàm Tử,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,148.0,1,3,4,2,22.0,1
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,80.0,1,10,9,5,7.499,1
An Thượng 29,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,14,16,7,19.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,5,4,3,9.0,1
Hoàng Đức Lương,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,7,9,5,10.5,1
Phước Trường 12,Phước Mỹ,Sơn Trà,Đà Nẵng,90.0,1,13,14,8,16.0,1
Phước Trường 11,Phước Mỹ,Sơn Trà,Đà Nẵng,100.0,1,7,8,5,14.8,1
Hồ Nghinh,Phước Mỹ,Sơn Trà,Đà Nẵng,154.0,1,3,4,3,33.0,1
Yên Bái,Hải Châu 1,Hải Châu,Đà Nẵng,110.0,1,25,25,7,33.0,1
Lương Nhữ Hộc,Hòa Cường Bắc,Hải Châu,Đà Nẵng,144.0,1,5,7,3,16.7,1
Nguyễn Thiện Thuật,Bình Thuận,Hải Châu,Đà Nẵng,1135.0,1,5,5,5,150.0,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,160.0,1,4,6,4,19.0,1
Đặng Vũ Hỷ,An Hải Đông,Sơn Trà,Đà Nẵng,200.0,1,3,2,3,18.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,11,10,5,10.9,1
Hàn Thuyên,Hòa Cường Bắc,Hải Châu,Đà Nẵng,228.0,1,2,2,3,22.0,1
Nguyễn Sinh Sắc,Hòa Minh,Liên Chiểu,Đà Nẵng,210.0,1,26,26,6,35.0,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,125.0,1,9,9,4,10.7,1
Châu Thị Vĩnh Tế,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,215.0,1,14,15,5,22.899,1
An Thượng 29,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,162.0,1,40,45,11,52.0,1
Khuê Mỹ Đông 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,102.0,1,4,4,3,8.6,1
Nguyễn Bá Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,474.0,1,4,5,2,30.799,1
An Thượng 5,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,70.0,1,7,8,7,13.9,1
